scope,model_1,model_2,b,c,p_raw,p_adj_bh,significant
HF,bert__HR100-AIR0-HF100-AIF0__15,bert__HR100-AIR0-HF50-AIF50__12,11,0,0.000977,0.002384,True
AI-F,bert__HR100-AIR0-HF100-AIF0__15,bert__HR100-AIR0-HF50-AIF50__12,0,31,0.0,0.0,True
overall,bert__HR100-AIR0-HF100-AIF0__15,bert__HR100-AIR0-HF67-AIF33__14,11,37,0.000308,0.000817,True
HR,bert__HR100-AIR0-HF100-AIF0__15,bert__HR100-AIR0-HF67-AIF33__14,0,4,0.125,0.196441,False
AI-R,bert__HR100-AIR0-HF100-AIF0__15,bert__HR100-AIR0-HF67-AIF33__14,6,3,0.507812,0.65432,False
HF,bert__HR100-AIR0-HF100-AIF0__15,bert__HR100-AIR0-HF67-AIF33__14,5,0,0.0625,0.104728,False
AI-F,bert__HR100-AIR0-HF100-AIF0__15,bert__HR100-AIR0-HF67-AIF33__14,0,30,0.0,1e-06,True
overall,bert__HR100-AIR0-HF100-AIF0__15,bert__HR50-AIR50-HF0-AIF100__5,74,49,0.030464,0.056173,False
HR,bert__HR100-AIR0-HF100-AIF0__15,bert__HR50-AIR50-HF0-AIF100__5,0,5,0.0625,0.104728,False
AI-R,bert__HR100-AIR0-HF100-AIF0__15,bert__HR50-AIR50-HF0-AIF100__5,1,14,0.000977,0.002384,True
HF,bert__HR100-AIR0-HF100-AIF0__15,bert__HR50-AIR50-HF0-AIF100__5,73,0,0.0,0.0,True
AI-F,bert__HR100-AIR0-HF100-AIF0__15,bert__HR50-AIR50-HF0-AIF100__5,0,30,0.0,1e-06,True
overall,bert__HR100-AIR0-HF100-AIF0__15,bert__HR50-AIR50-HF100-AIF0__8,40,12,0.000181,0.000499,True
HR,bert__HR100-AIR0-HF100-AIF0__15,bert__HR50-AIR50-HF100-AIF0__8,13,0,0.000244,0.00066,True
AI-R,bert__HR100-AIR0-HF100-AIF0__15,bert__HR50-AIR50-HF100-AIF0__8,4,5,1.0,1.0,False
HF,bert__HR100-AIR0-HF100-AIF0__15,bert__HR50-AIR50-HF100-AIF0__8,0,6,0.03125,0.056173,False
AI-F,bert__HR100-AIR0-HF100-AIF0__15,bert__HR50-AIR50-HF100-AIF0__8,23,1,3e-06,1.1e-05,True
overall,bert__HR100-AIR0-HF100-AIF0__15,bert__HR50-AIR50-HF100-AIF0__9,40,12,0.000181,0.000499,True
HR,bert__HR100-AIR0-HF100-AIF0__15,bert__HR50-AIR50-HF100-AIF0__9,13,0,0.000244,0.00066,True
AI-R,bert__HR100-AIR0-HF100-AIF0__15,bert__HR50-AIR50-HF100-AIF0__9,4,5,1.0,1.0,False
HF,bert__HR100-AIR0-HF100-AIF0__15,bert__HR50-AIR50-HF100-AIF0__9,0,6,0.03125,0.056173,False
AI-F,bert__HR100-AIR0-HF100-AIF0__15,bert__HR50-AIR50-HF100-AIF0__9,23,1,3e-06,1.1e-05,True
overall,bert__HR100-AIR0-HF100-AIF0__15,bert__HR50-AIR50-HF33-AIF67__5,10,44,7e-06,2.5e-05,True
HR,bert__HR100-AIR0-HF100-AIF0__15,bert__HR50-AIR50-HF33-AIF67__5,1,3,0.625,0.778565,False
AI-R,bert__HR100-AIR0-HF100-AIF0__15,bert__HR50-AIR50-HF33-AIF67__5,5,8,0.581055,0.742099,False
HF,bert__HR100-AIR0-HF100-AIF0__15,bert__HR50-AIR50-HF33-AIF67__5,4,2,0.6875,0.846723,False
AI-F,bert__HR100-AIR0-HF100-AIF0__15,bert__HR50-AIR50-HF33-AIF67__5,0,31,0.0,0.0,True
overall,bert__HR100-AIR0-HF100-AIF0__15,bert__HR50-AIR50-HF50-AIF50__7,16,45,0.000337,0.000886,True
HR,bert__HR100-AIR0-HF100-AIF0__15,bert__HR50-AIR50-HF50-AIF50__7,2,4,0.6875,0.846723,False
AI-R,bert__HR100-AIR0-HF100-AIF0__15,bert__HR50-AIR50-HF50-AIF50__7,2,10,0.038574,0.068266,False
HF,bert__HR100-AIR0-HF100-AIF0__15,bert__HR50-AIR50-HF50-AIF50__7,12,3,0.035156,0.062574,False
AI-F,bert__HR100-AIR0-HF100-AIF0__15,bert__HR50-AIR50-HF50-AIF50__7,0,28,0.0,1e-06,True
